name,molecule,ksize,sigma,expected_collisions,n_unique_kmers,n_theoretical_kmers_log10,n_unique_kmers_log10,unique_over_theoretical_log10
opisthokonta,dayhoff6,11,6,0.0009592113208597833,19352116,8.55966375422008,7.286728458599426,-1.2729352956206545
opisthokonta,dayhoff6,12,6,0.003541210641722624,27939593,9.337815004603723,7.446220075395144,-1.891594929208579
opisthokonta,dayhoff6,13,6,0.006517851844467133,33381315,10.115966254987367,7.523503440970995,-2.592462814016372
opisthokonta,dayhoff6,14,6,0.008599756571097242,36244882,10.89411750537101,7.559246690187515,-3.3348708151834954
opisthokonta,dayhoff6,15,6,0.009882819760156758,37790565,11.672268755754654,7.577383385024926,-4.094885370729728
opisthokonta,dayhoff6,16,6,0.010735338561888666,38747210,12.450420006138298,7.588240436513887,-4.862179569624411
opisthokonta,dayhoff6,17,6,0.011370827302219399,39430908,13.228571256521942,7.5958367779570475,-5.6327344785648945
opisthokonta,dayhoff6,18,6,0.011890892820743114,39972754,14.006722506905586,7.601764070847051,-6.404958436058535
opisthokonta,dayhoff6,19,6,0.0123436248183322,40428945,14.78487375728923,7.606692408495275,-7.178181348793955
opisthokonta,dayhoff6,20,6,0.012741624162665504,40827077,15.563025007672874,7.610948287877634,-7.952076719795239
opisthokonta,dayhoff6,21,6,0.013102955700612578,41180795,16.341176258056517,7.614694726468035,-8.726481531588483
opisthokonta,dayhoff6,22,6,0.01344196169408164,41499352,17.11932750844016,7.618041315386275,-9.501286193053886
opisthokonta,dayhoff6,23,6,0.01375195184658315,41789158,17.897478758823805,7.621063620733535,-10.27641513809027
opisthokonta,dayhoff6,24,6,0.014036773793703486,42054780,18.675630009207445,7.623815365404864,-11.051814643802581
opisthokonta,dayhoff6,25,6,0.01430186121697983,42297277,19.45378125959109,7.626312409409572,-11.827468850181518
opisthokonta,dayhoff6,26,6,0.014552431020552039,42521839,20.231932509974733,7.62861203878356,-12.603320471191173
opisthokonta,dayhoff6,27,6,0.014783493668584523,42726896,21.010083760358377,7.630701343576924,-13.379382416781453
opisthokonta,dayhoff6,28,6,0.014994354260607502,42917364,21.78823501074202,7.6326330395891,-14.15560197115292
opisthokonta,dayhoff6,29,6,0.015195930950748067,43092619,22.566386261125665,7.6344028896020255,-14.93198337152364
opisthokonta,dayhoff6,30,6,0.015378104849835705,43254714,23.34453751150931,7.636033444809523,-15.708504066699785
opisthokonta,dayhoff6,31,6,0.01555801021826001,43406201,24.122688761892952,7.637551777155555,-16.485136984737398
opisthokonta,dayhoff6,32,6,0.01570943263186031,43544342,24.900840012276596,7.63893173229858,-17.261908279978016
opisthokonta,dayhoff6,33,6,0.015866030768060417,43673791,25.67899126266024,7.640220891461584,-18.038770371198655
opisthokonta,dayhoff6,34,6,0.01600537537294274,43793718,26.457142513043884,7.64141181749948,-18.815730695544403
opisthokonta,dayhoff6,35,6,0.016132852189616353,43904658,27.235293763427528,7.642510598519622,-19.592783164907907
opisthokonta,dayhoff6,36,6,0.0162600143313675,44006416,28.01344501381117,7.6435159999011715,-20.36992901391
opisthokonta,dayhoff6,37,6,0.01637089834592167,44101952,28.791596264194816,7.644457812235807,-21.14713845195901
opisthokonta,dayhoff6,38,6,0.016479910617565496,44188775,29.56974751457846,7.645311962229538,-21.92443555234892
opisthokonta,dayhoff6,39,6,0.016571228102576822,44269886,30.347898764962103,7.646108403622519,-22.701790361339583
opisthokonta,dayhoff6,40,6,0.016670708186355618,44343682,31.126050015345747,7.646831751157641,-23.479218264188106
opisthokonta,dayhoff6,41,6,0.01674329635800708,44412477,31.904201265729387,7.647504995588278,-24.25669627014111
opisthokonta,dayhoff6,42,6,0.016815471300177763,44475244,32.682352516113035,7.648118339388068,-25.034234176724965
opisthokonta,dayhoff6,43,6,0.016890506665286114,44532313,33.46050376649668,7.648675252891134,-25.811828513605544
opisthokonta,dayhoff6,44,6,0.01696640211703227,44584193,34.23865501688032,7.649180910064598,-26.589474106815725
opisthokonta,dayhoff6,45,6,0.01700756973192432,44631164,35.016806267263966,7.649638213575569,-27.367168053688395
opisthokonta,dayhoff6,46,6,0.017060961844762353,44672522,35.79495751764761,7.650040471383083,-28.144917046264528
opisthokonta,dayhoff6,47,6,0.01711441332543718,44710119,36.573108768031254,7.650405825783365,-28.922702942247888
opisthokonta,dayhoff6,48,6,0.017145988347261523,44744324,37.35126001841489,7.650737951119554,-29.70052206729534
